Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015	1	28	17869	17620	17362	17360	17458	17662	17803	18191	18794	19380	19818	19877	19784	19531	19384	19522	19709	20232	20256	19897	19348	19098	18686	18266
2015	1	29	17909	17599	17464	17405	17317	17408	17594	17827	18280	18808	19278	19359	19358	19335	19425	19523	19740	20149	20183	20090	20032	19813	19459	18986
2015	1	30	18487	18247	18072	18165	18417	18816	20105	21708	22343	22236	21893	21689	21481	21382	21311	21212	21280	21615	21546	21311	20964	20637	20060	19068
2015	1	31	18807	18412	18395	18364	18505	18782	19952	21466	21889	21752	21768	21529	21260	21018	21019	21049	21180	21359	21090	20940	20655	20294	19690	18967
2015	2	1	18548	18209	17983	18065	18254	18591	19621	21201	21585	21502	21315	20996	20781	20484	20490	20286	20301	20704	20736	20485	20044	19749	19150	18468
2015	2	2	17775	17501	17384	17382	17510	17951	19140	20726	21079	20726	20482	20226	19980	19954	20003	19875	20011	20185	20108	19998	19785	19426	18743	18104
2015	2	3	17491	17192	17006	16994	17099	17478	18550	20060	20490	20331	20230	20061	19690	19408	19381	19326	19430	19630	19596	19282	18875	18534	18039	17545
2015	2	4	16927	16649	16376	16359	16341	16528	16869	17299	17732	18171	18605	18598	18399	18250	18116	18093	18255	18766	18988	18835	18316	17885	17574	17345
2015	2	5	16781	16483	16368	16397	16403	16603	16810	17178	17499	17977	18238	18157	17932	17678	17705	17929	18199	18655	18868	18874	18834	18547	18207	17645
2015	2	6	17320	17073	16991	17028	17107	17589	18823	20463	20793	20682	20485	20186	19783	19624	19669	19637	19722	20030	20185	19894	19670	19491	18944	18177
2015	2	7	17641	17317	17224	17334	17509	17949	19162	20862	21099	20836	20664	20418	20194	20050	19826	19817	19818	20182	20385	20208	20017	19703	19039	18331
2015	2	8	17799	17504	17735	17886	17799	18246	19555	21323	21940	21647	21611	21194	20713	20463	20375	20447	20131	20542	20598	20426	20122	19861	19385	18502
