Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	5	15	12350	12027	11769	11578	11460	11297	11567	12113	12939	13718	14042	14126	14086	13924	13624	13342	13292	13380	13366	13155	12898	12975	12881	12251
2014	5	16	11739	11508	11355	11154	11069	10865	11092	11608	12256	12911	13503	13854	13908	13773	13658	13541	13566	13767	14006	14050	14027	14015	13767	12956
2014	5	17	12358	12088	12090	11896	11896	12394	14151	15809	16352	16331	16557	16496	16307	16031	15888	15813	15390	15291	14994	14782	14583	14615	14249	13211
2014	5	18	12529	12004	11888	11809	11696	12099	13668	15377	15803	15774	15683	15730	15675	15551	15444	15429	15051	14937	14615	14324	14116	13988	13557	12517
2014	5	19	11842	11704	11561	11426	11304	11715	13418	15144	15809	15832	16030	16050	15987	15819	15712	15619	15288	15224	14953	14645	14487	14269	13837	12869
2014	5	20	12784	11749	11565	11565	11396	11727	13471	15237	15771	15818	15908	15886	15888	15864	15753	15710	15340	15087	14745	14516	14306	14213	13815	12759
2014	5	21	12005	11645	11471	11352	11077	11431	13106	14835	15623	15840	16031	16010	15865	15579	15125	14840	14382	14354	14054	13598	13150	12958	12880	12293
2014	5	22	11672	11391	11151	10919	10650	10557	10879	11616	12387	13045	13346	13395	13267	13087	12824	12666	12661	12803	12667	12470	12267	12274	12416	11889
2014	5	23	11468	11086	10922	10743	10480	10245	10485	11028	11749	12456	12949	13147	13290	13169	13079	13060	13105	13235	13250	13244	13201	13072	13114	12355
2014	5	24	11749	11494	11494	11455	11353	11736	13425	15107	15753	15807	16064	16108	16010	15769	15700	15523	15266	15201	14909	14649	14521	14392	14157	13108
2014	5	25	12486	11942	11855	11798	11618	12030	13713	15625	16437	16432	16472	16542	16488	16322	16228	16175	15731	15638	15477	15248	14946	14776	14477	13556
2014	5	26	12783	12443	12243	12171	12139	12503	14218	15913	16203	16199	16369	16358	16197	16055	15798	15824	15344	15363	15018	14798	14547	14579	14451	13513
2014	5	27	12727	12473	12440	12327	12202	12589	14027	15578	16201	16128	16103	16154	16082	15948	15761	15630	15257	15194	15025	14776	14591	14354	14133	13143
2014	5	28	12612	12282	12193	12092	11974	12410	14029	15667	16352	16382	16410	16297	16161	15728	15410	15054	14818	14752	14543	14185	13749	13516	13414	12836
2014	5	29	12098	11767	11478	11485	11215	11164	11579	12142	12935	13545	13945	14017	13816	13586	13307	13114	13142	13259	13195	12996	12822	12573	12688	12477
2014	5	30	12025	11720	11519	11304	11082	10970	11121	11425	12048	12681	13038	13174	13268	13087	12890	12867	12982	12888	13025	13061	13031	12952	12859	12364
2014	5	31	11898	12228	12201	12028	12074	12539	14241	15970	16458	16544	16608	16624	16495	16416	16294	16225	15902	15813	15367	15077	14809	14493	14327	13606
2014	6	1	12804	12020	12365	12315	12215	12582	13506	15045	15550	15540	15837	15780	15707	15535	15448	15333	15034	14904	14559	14346	14132	13820	13613	12817
2014	6	2	12183	11940	11824	11742	11573	11992	13638	15124	15553	15601	15695	15753	15698	15566	15405	15375	15098	14865	14441	14149	13911	13661	13418	12648
2014	6	3	11999	11713	11552	11326	11115	11557	12974	14447	15108	15235	15332	15318	15340	15181	15162	15091	14689	14669	14413	14108	13833	13612	13369	12708
2014	6	4	12080	11685	11548	11392	11222	11666	13215	14825	15355	15550	15651	15531	15291	14983	14702	14419	14064	13893	13564	13223	12796	12519	12465	12237
2014	6	5	11744	11361	11236	10966	10743	10707	11009	11480	12246	12863	13125	13161	13129	12960	12791	12719	12690	12764	12670	12491	12212	12021	12158	11883
2014	6	6	11558	11251	11220	10879	10708	10592	10760	11370	11792	12336	12589	12855	12829	12754	12660	12661	12722	12894	12862	12889	12814	12619	12504	12039
2014	6	7	11622	11411	11324	11236	11105	11625	13338	15036	15686	15828	16053	16069	16035	15911	15856	15854	15459	15420	15221	15000	14618	14258	13784	12959
2014	6	8	12339	11992	11856	11731	11517	11932	13518	15090	15539	15558	15743	15808	15801	15731	15668	15530	15277	15152	14850	14646	14356	14164	13756	13026
2014	6	9	12378	12019	11949	11792	11628	12016	13628	15174	15727	15860	16055	16028	15976	15806	15776	15666	15221	15151	14845	14614	14344	13957	13648	12974
2014	6	10	12198	11837	11754	11629	11446	11893	13557	15170	15622	15803	15937	15961	15880	15776	15633	15586	15277	15182	14751	14561	14289	13947	13624	12873
2014	6	11	12202	11821	11630	11487	11485	11900	13524	15220	15778	15908	16100	16064	15953	15713	15343	15158	14815	14655	14292	13920	13532	13184	12925	12320
2014	6	12	11858	11556	11380	11207	10981	11002	11340	11836	12619	13272	13687	13884	13917	13789	13630	13473	13483	13513	13551	13323	13061	12843	12748	12362
