Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	3	2	65118	64145	63645	63390	63465	65088	72302	78531	80837	80470	79997	80625	80495	79916	78812	78018	76778	77118	81644	82562	78340	74731	72048	67309
2014	3	3	64782	63158	62926	62932	63922	65054	71394	76573	78202	77452	77201	77021	75619	74912	74308	74332	74280	76720	82292	82987	78916	75166	72533	67948
2014	3	4	64971	63931	63403	63423	63969	65940	72183	77277	78793	78354	78084	78316	77091	76444	75429	75095	74830	75740	80245	81614	77684	74319	72211	68261
2014	3	5	64645	63420	61972	61654	62293	63830	70023	74844	76252	75705	75860	76783	75841	74594	73369	72712	73026	75635	80446	81084	75849	71652	69496	65238
2014	3	6	61828	59393	58065	58898	59096	58445	56168	57094	60765	64137	65540	66333	65008	62625	61029	60736	60975	62681	68103	69491	65820	63207	63782	61634
2014	3	7	58912	57138	56113	55273	55021	54018	51222	51197	53617	55593	57031	58472	57519	54751	53164	52865	53744	57201	63735	66978	64814	63395	64853	62427
2014	3	8	60557	60013	60021	59626	60629	63493	70257	75358	77610	77459	77619	78409	77810	77264	76108	75555	74981	76359	80039	82444	78579	74789	72608	68979
2014	3	9	66511	65283	64197	64027	64933	66404	72030	77079	78064	77290	77241	77560	77194	76869	76016	75801	75921	77416	81481	84110	80360	76937	75148	71554
2014	3	10	65504	64038	62829	62458	63007	64763	70617	75588	77384	78454	80093	79936	78726	77796	75314	75703	75256	76007	79774	81896	77668	73762	72177	68437
2014	3	11	65868	64594	63400	63171	64057	65798	71735	77015	79661	80281	80743	81428	80424	80321	78877	78096	76699	77594	81043	83405	79715	76022	73679	69572
2014	3	12	66988	64818	63230	62839	63079	65007	70324	75093	78185	79093	79528	79543	78374	76392	74148	72550	71725	72311	75018	75610	71361	68138	66863	63343
2014	3	13	59334	57035	55318	54986	55164	54628	53720	54862	58756	61842	63669	64414	64019	62402	61035	60346	60536	62111	65104	65561	61608	59658	59618	56750
2014	3	14	54889	52324	50401	49847	49561	49001	47263	47362	50520	53567	55700	58382	58786	56592	55083	54498	54337	56258	60437	62509	59800	58288	58662	56204
2014	3	15	54662	53147	53407	53778	55403	58230	65357	71185	74361	74990	75645	76819	76741	77008	76711	76298	75306	75717	78948	79996	75311	71080	68246	63627
2014	3	16	60991	59361	58938	59220	60343	61933	67764	73196	76093	76001	76285	77122	76562	76034	75143	74889	73986	74630	77486	79621	75496	72091	69636	65025
2014	3	17	62010	60608	59722	59798	60666	62339	68046	73284	75652	75156	74788	75024	73173	72116	71108	71120	70633	72123	76031	78811	74644	70058	66437	61241
2014	3	18	57753	56534	56198	56771	57993	60411	65936	70877	73032	72282	72009	72412	71496	70870	69996	69871	69822	71468	75046	77894	73445	68992	65049	59929
2014	3	19	55801	53695	53472	53728	54875	57392	62832	68586	72175	72773	72852	72502	70948	68830	66728	66350	66449	68121	70584	73693	69225	64534	61861	56935
2014	3	20	52399	50590	49699	50698	51385	51551	51211	53330	56915	59460	60532	60800	59502	57571	55881	56013	56055	58111	60938	62464	58873	56088	55063	51559
