Pattern	S wind	N wind	G wind	S wind new	N wind new	G wind new
M07,D17,H01	2,40	11,40	16,50	2,40	11,40	16,50
M07,D17,H02	2,74	10,80	16,40	2,74	10,80	16,40
M07,D17,H03	3,08	10,20	16,30	3,08	10,20	16,30
M07,D17,H04	3,42	9,56	16,30	3,42	9,56	16,30
M07,D17,H05	3,76	8,96	16,20	3,76	8,96	16,20
M07,D17,H06	4,10	8,35	16,20	4,10	8,35	16,20
M07,D17,H07	4,44	7,75	16,10	4,44	7,75	16,10
M07,D17,H08	4,58	8,59	16,80	4,58	8,59	16,80
M07,D17,H09	4,72	9,43	17,40	4,72	9,43	17,40
M07,D17,H10	4,85	10,30	18,10	4,85	10,30	18,10
M07,D17,H11	4,99	11,10	18,80	4,99	11,10	18,80
M07,D17,H12	5,13	11,90	19,40	5,13	11,90	19,40
M07,D17,H13	5,27	12,80	20,10	5,27	12,80	20,10
M07,D17,H14	5,96	12,50	17,90	5,96	12,50	17,90
M07,D17,H15	6,66	12,20	15,80	6,66	12,20	15,80
M07,D17,H16	7,35	11,90	13,60	7,35	11,90	13,60
M07,D17,H17	8,05	11,60	11,50	8,05	11,60	11,50
M07,D17,H18	8,74	11,30	9,30	8,74	11,30	9,30
M07,D17,H19	9,43	11,00	7,14	9,43	11,00	7,14
M07,D17,H20	8,47	9,78	6,67	8,47	9,78	6,67
M07,D17,H21	7,51	8,61	6,20	7,51	8,61	6,20
M07,D17,H22	6,55	7,44	5,73	6,55	7,44	5,73
M07,D17,H23	5,58	6,27	5,27	5,58	6,27	5,27
M07,D17,H24	4,62	5,10	4,80	4,62	5,10	4,80
M07,D18,H01	3,66	3,92	4,33	3,66	3,92	4,33
M07,D18,H02	3,24	3,75	4,70	3,24	3,75	4,70
M07,D18,H03	2,82	3,58	5,07	2,82	3,58	5,07
M07,D18,H04	2,40	3,41	5,45	2,40	3,41	5,45
M07,D18,H05	1,98	3,24	5,82	1,98	3,24	5,82
M07,D18,H06	1,56	3,07	6,19	1,56	3,07	6,19
M07,D18,H07	1,14	2,90	6,57	1,14	2,90	6,57
M07,D18,H08	1,11	3,12	6,67	1,11	3,12	6,67
M07,D18,H09	1,09	3,34	6,77	1,09	3,34	6,77
M07,D18,H10	1,07	3,56	6,87	1,07	3,56	6,87
M07,D18,H11	1,05	3,78	6,97	1,05	3,78	6,97
M07,D18,H12	1,02	4,00	7,07	1,02	4,00	7,07
M07,D18,H13	1,00	4,22	7,17	1,00	4,22	7,17
M07,D18,H14	1,01	4,95	7,39	1,01	4,95	7,39
M07,D18,H15	1,02	5,67	7,61	1,02	5,67	7,61
M07,D18,H16	1,04	6,40	7,83	1,04	6,40	7,83
M07,D18,H17	1,05	7,12	8,05	1,05	7,12	8,05
