Pattern	S wind	N wind	G wind	S wind new	N wind new	G wind new
M02,D24,H23	5,54	4,60	2,53	5,54	4,60	2,53
M02,D24,H24	4,40	4,27	2,46	4,40	4,27	2,46
M02,D25,H01	3,27	3,93	2,38	3,27	3,93	2,38
M02,D25,H02	3,31	4,72	2,26	3,31	4,72	2,26
M02,D25,H03	3,35	5,51	2,14	3,35	5,51	2,14
M02,D25,H04	3,39	6,30	2,03	3,39	6,30	2,03
M02,D25,H05	3,43	7,09	1,91	3,43	7,09	1,91
M02,D25,H06	3,47	7,88	1,79	3,47	7,88	1,79
M02,D25,H07	3,52	8,68	1,68	3,52	8,68	1,68
M02,D25,H08	3,97	8,28	1,83	3,97	8,28	1,83
M02,D25,H09	4,42	7,88	1,99	4,42	7,88	1,99
M02,D25,H10	4,88	7,48	2,15	4,88	7,48	2,15
M02,D25,H11	5,33	7,08	2,30	5,33	7,08	2,30
M02,D25,H12	5,78	6,68	2,46	5,78	6,68	2,46
M02,D25,H13	6,24	6,28	2,62	6,24	6,28	2,62
M02,D25,H14	6,81	6,45	3,41	6,81	6,45	3,41
M02,D25,H15	7,39	6,62	4,21	7,39	6,62	4,21
M02,D25,H16	7,97	6,80	5,00	7,97	6,80	5,00
M02,D25,H17	8,55	6,97	5,80	8,55	6,97	5,80
M02,D25,H18	9,13	7,14	6,60	9,13	7,14	6,60
M02,D25,H19	9,71	7,32	7,39	9,71	7,32	7,39
M02,D25,H20	10,10	7,43	8,01	10,10	7,43	8,01
M02,D25,H21	10,40	7,55	8,63	10,40	7,55	8,63
M02,D25,H22	10,80	7,66	9,25	10,80	7,66	9,25
M02,D25,H23	11,20	7,77	9,87	11,20	7,77	9,87
M02,D25,H24	11,50	7,89	10,50	11,50	7,89	10,50
M02,D26,H01	11,90	8,00	11,10	11,90	8,00	11,10
M02,D26,H02	10,90	8,86	12,20	10,90	8,86	12,20
M02,D26,H03	9,98	9,72	13,30	9,98	9,72	13,30
M02,D26,H04	9,01	10,60	14,40	9,01	10,60	14,40
M02,D26,H05	8,05	11,40	15,50	8,05	11,40	15,50
M02,D26,H06	7,09	12,30	16,60	7,09	12,30	16,60
M02,D26,H07	6,13	13,10	17,70	6,13	13,10	17,70
M02,D26,H08	6,58	15,20	17,80	6,58	15,20	17,80
M02,D26,H09	7,03	17,20	18,00	7,03	17,20	18,00
M02,D26,H10	7,49	19,20	18,10	7,49	19,20	18,10
M02,D26,H11	7,94	21,30	18,30	7,94	21,30	18,30
M02,D26,H12	8,39	23,30	18,40	8,39	23,30	18,40
M02,D26,H13	8,84	25,30	18,50	8,84	25,30	18,50
M02,D26,H14	9,96	26,00	22,20	9,96	26,00	22,20
M02,D26,H15	11,10	26,70	25,80	11,10	26,70	25,80
M02,D26,H16	12,20	27,50	29,40	12,20	27,50	29,40
M02,D26,H17	13,30	28,20	33,10	13,30	28,20	33,10
M02,D26,H18	14,40	28,90	36,70	14,40	28,90	36,70
M02,D26,H19	15,50	29,60	40,30	15,50	29,60	40,30
M02,D26,H20	14,50	31,40	40,80	14,50	31,40	40,80
M02,D26,H21	13,50	33,20	41,30	13,50	33,20	41,30
M02,D26,H22	12,60	34,90	41,70	12,60	34,90	41,70
M02,D26,H23	11,60	36,70	42,20	11,60	36,70	42,20
M02,D26,H24	10,60	38,50	42,70	10,60	38,50	42,70
M02,D27,H01	9,57	40,30	43,20	9,57	40,30	43,20
M02,D27,H02	9,70	37,00	43,50	9,70	37,00	43,50
M02,D27,H03	9,83	33,60	43,80	9,83	33,60	43,80
M02,D27,H04	9,97	30,30	44,10	9,97	30,30	44,10
M02,D27,H05	10,10	26,90	44,40	10,10	26,90	44,40
M02,D27,H06	10,20	23,60	44,70	10,20	23,60	44,70
M02,D27,H07	10,40	20,30	45,00	10,40	20,30	45,00
M02,D27,H08	10,20	23,40	44,20	10,20	23,40	44,20
M02,D27,H09	10,10	26,50	43,50	10,10	26,50	43,50
M02,D27,H10	9,95	29,60	42,70	9,95	29,60	42,70
M02,D27,H11	9,82	32,70	42,00	9,82	32,70	42,00
M02,D27,H12	9,68	35,80	41,20	9,68	35,80	41,20
M02,D27,H13	9,54	38,90	40,50	9,54	38,90	40,50
M02,D27,H14	9,89	42,00	43,10	9,89	42,00	43,10
M02,D27,H15	10,20	45,00	45,70	10,20	45,00	45,70
M02,D27,H16	10,60	48,10	48,30	10,60	48,10	48,30
M02,D27,H17	10,90	51,20	50,90	10,90	51,20	50,90
M02,D27,H18	11,30	54,20	53,50	11,30	54,20	53,50
M02,D27,H19	11,60	57,30	56,10	11,60	57,30	56,10
M02,D27,H20	12,20	55,30	55,90	12,20	55,30	55,90
M02,D27,H21	12,80	53,40	55,80	12,80	53,40	55,80
M02,D27,H22	13,50	51,40	55,60	13,50	51,40	55,60
M02,D27,H23	14,10	49,50	55,50	14,10	49,50	55,50
M02,D27,H24	14,70	47,50	55,40	14,70	47,50	55,40
M02,D28,H01	15,30	45,60	55,20	15,30	45,60	55,20
M02,D28,H02	14,50	44,00	49,20	14,50	44,00	49,20
M02,D28,H03	13,60	42,50	43,10	13,60	42,50	43,10
M02,D28,H04	12,80	41,00	37,00	12,80	41,00	37,00
M02,D28,H05	12,00	39,40	31,00	12,00	39,40	31,00
M02,D28,H06	11,20	37,90	24,90	11,20	37,90	24,90
M02,D28,H07	10,30	36,40	18,80	10,30	36,40	18,80
M02,D28,H08	12,20	35,20	16,60	12,20	35,20	16,60
M02,D28,H09	14,20	34,00	14,30	14,20	34,00	14,30
M02,D28,H10	16,10	32,70	12,00	16,10	32,70	12,00
M02,D28,H11	18,00	31,50	9,74	18,00	31,50	9,74
M02,D28,H12	19,90	30,30	7,47	19,90	30,30	7,47
M02,D28,H13	21,90	29,10	5,21	21,90	29,10	5,21
M02,D28,H14	22,20	25,70	6,12	22,20	25,70	6,12
M02,D28,H15	22,60	22,40	7,04	22,60	22,40	7,04
M02,D28,H16	23,00	19,00	7,96	23,00	19,00	7,96
M02,D28,H17	23,30	15,70	8,88	23,30	15,70	8,88
M02,D28,H18	23,70	12,30	9,80	23,70	12,30	9,80
M02,D28,H19	24,00	8,96	10,70	24,00	8,96	10,70
M02,D28,H20	22,50	8,26	9,98	22,50	8,26	9,98
M02,D28,H21	20,90	7,56	9,24	20,90	7,56	9,24
M02,D28,H22	19,40	6,87	8,50	19,40	6,87	8,50
M02,D28,H23	17,80	6,17	7,76	17,80	6,17	7,76
M02,D28,H24	16,20	5,47	7,02	16,20	5,47	7,02
M03,D01,H01	24,20	2,48	3,32	24,20	2,48	3,32
M03,D01,H02	24,10	2,50	2,92	24,10	2,50	2,92
M03,D01,H03	24,10	2,52	2,53	24,10	2,52	2,53
M03,D01,H04	24,00	2,54	2,14	24,00	2,54	2,14
M03,D01,H05	23,90	2,56	1,74	23,90	2,56	1,74
M03,D01,H06	23,80	2,58	1,35	23,80	2,58	1,35
M03,D01,H07	23,70	2,60	0,96	23,70	2,60	0,96
M03,D01,H08	23,10	4,16	1,20	23,10	4,16	1,20
M03,D01,H09	22,40	5,71	1,44	22,40	5,71	1,44
M03,D01,H10	21,80	7,27	1,68	21,80	7,27	1,68
M03,D01,H11	21,10	8,82	1,93	21,10	8,82	1,93
M03,D01,H12	20,50	10,40	2,17	20,50	10,40	2,17
M03,D01,H13	19,90	11,90	2,41	19,90	11,90	2,41
M03,D01,H14	19,50	11,90	3,63	19,50	11,90	3,63
M03,D01,H15	19,20	11,80	4,85	19,20	11,80	4,85
M03,D01,H16	18,90	11,70	6,06	18,90	11,70	6,06
M03,D01,H17	18,60	11,60	7,28	18,60	11,60	7,28
M03,D01,H18	18,30	11,50	8,50	18,30	11,50	8,50
M03,D01,H19	17,90	11,40	9,72	17,90	11,40	9,72
M03,D01,H20	16,30	14,70	10,40	16,30	14,70	10,40
M03,D01,H21	14,60	17,90	11,00	14,60	17,90	11,00
M03,D01,H22	12,90	21,10	11,70	12,90	21,10	11,70
M03,D01,H23	11,30	24,30	12,30	11,30	24,30	12,30
M03,D01,H24	9,59	27,50	12,90	9,59	27,50	12,90
M03,D02,H01	7,92	30,80	13,60	7,92	30,80	13,60
M03,D02,H02	7,14	28,90	12,50	7,14	28,90	12,50
M03,D02,H03	6,35	27,10	11,40	6,35	27,10	11,40
M03,D02,H04	5,57	25,30	10,20	5,57	25,30	10,20
M03,D02,H05	4,78	23,50	9,13	4,78	23,50	9,13
M03,D02,H06	3,99	21,60	8,01	3,99	21,60	8,01
M03,D02,H07	3,21	19,80	6,90	3,21	19,80	6,90
M03,D02,H08	3,21	21,70	6,35	3,21	21,70	6,35
M03,D02,H09	3,21	23,50	5,81	3,21	23,50	5,81
M03,D02,H10	3,22	25,40	5,27	3,22	25,40	5,27
M03,D02,H11	3,22	27,30	4,73	3,22	27,30	4,73
M03,D02,H12	3,22	29,20	4,19	3,22	29,20	4,19
M03,D02,H13	3,22	31,00	3,65	3,22	31,00	3,65
M03,D02,H14	3,73	34,30	3,76	3,73	34,30	3,76
M03,D02,H15	4,24	37,50	3,87	4,24	37,50	3,87
M03,D02,H16	4,74	40,80	3,99	4,74	40,80	3,99
M03,D02,H17	5,25	44,00	4,10	5,25	44,00	4,10
M03,D02,H18	5,76	47,20	4,21	5,76	47,20	4,21
M03,D02,H19	6,27	50,50	4,32	6,27	50,50	4,32
M03,D02,H20	6,27	51,90	4,60	6,27	51,90	4,60
M03,D02,H21	6,27	53,20	4,87	6,27	53,20	4,87
M03,D02,H22	6,27	54,60	5,15	6,27	54,60	5,15
M03,D02,H23	6,28	56,00	5,42	6,28	56,00	5,42
M03,D02,H24	6,28	57,30	5,70	6,28	57,30	5,70
M03,D03,H01	6,28	58,70	5,98	6,28	58,70	5,98
M03,D03,H02	6,75	52,20	5,03	6,75	52,20	5,03
M03,D03,H03	7,22	45,60	4,09	7,22	45,60	4,09
M03,D03,H04	7,69	39,10	3,15	7,69	39,10	3,15
M03,D03,H05	8,16	32,60	2,21	8,16	32,60	2,21
M03,D03,H06	8,63	26,00	1,27	8,63	26,00	1,27
M03,D03,H07	9,10	19,50	0,33	9,10	19,50	0,33
M03,D03,H08	9,51	17,20	0,31	9,51	17,20	0,31
M03,D03,H09	9,93	15,00	0,30	9,93	15,00	0,30
M03,D03,H10	10,30	12,70	0,29	10,30	12,70	0,29
M03,D03,H11	10,70	10,40	0,28	10,70	10,40	0,28
M03,D03,H12	11,20	8,18	0,27	11,20	8,18	0,27
M03,D03,H13	11,60	5,91	0,25	11,60	5,91	0,25
M03,D03,H14	13,40	6,45	0,57	13,40	6,45	0,57
M03,D03,H15	15,30	6,99	0,89	15,30	6,99	0,89
M03,D03,H16	17,20	7,53	1,20	17,20	7,53	1,20
M03,D03,H17	19,00	8,06	1,52	19,00	8,06	1,52
M03,D03,H18	20,90	8,60	1,83	20,90	8,60	1,83
M03,D03,H19	22,70	9,14	2,15	22,70	9,14	2,15
M03,D03,H20	21,10	8,93	1,92	21,10	8,93	1,92
M03,D03,H21	19,50	8,72	1,69	19,50	8,72	1,69
M03,D03,H22	17,90	8,52	1,46	17,90	8,52	1,46
M03,D03,H23	16,30	8,31	1,23	16,30	8,31	1,23
M03,D03,H24	14,70	8,10	1,00	14,70	8,10	1,00
M03,D04,H01	13,00	7,90	0,77	13,00	7,90	0,77
M03,D04,H02	12,20	7,21	0,81	12,20	7,21	0,81
M03,D04,H03	11,40	6,53	0,86	11,40	6,53	0,86
M03,D04,H04	10,60	5,84	0,91	10,60	5,84	0,91
M03,D04,H05	9,73	5,16	0,96	9,73	5,16	0,96
M03,D04,H06	8,90	4,48	1,01	8,90	4,48	1,01
M03,D04,H07	8,08	3,79	1,06	8,08	3,79	1,06
M03,D04,H08	9,74	4,41	0,98	9,74	4,41	0,98
M03,D04,H09	11,40	5,02	0,90	11,40	5,02	0,90
M03,D04,H10	13,10	5,64	0,82	13,10	5,64	0,82
M03,D04,H11	14,70	6,25	0,74	14,70	6,25	0,74
M03,D04,H12	16,40	6,86	0,66	16,40	6,86	0,66
M03,D04,H13	18,00	7,48	0,58	18,00	7,48	0,58
M03,D04,H14	18,20	7,16	1,23	18,20	7,16	1,23
M03,D04,H15	18,40	6,83	1,88	18,40	6,83	1,88
M03,D04,H16	18,50	6,51	2,53	18,50	6,51	2,53
M03,D04,H17	18,70	6,19	3,17	18,70	6,19	3,17
M03,D04,H18	18,90	5,87	3,82	18,90	5,87	3,82
M03,D04,H19	19,00	5,54	4,47	19,00	5,54	4,47
M03,D04,H20	19,20	5,83	4,34	19,20	5,83	4,34
M03,D04,H21	19,50	6,11	4,21	19,50	6,11	4,21
M03,D04,H22	19,70	6,40	4,08	19,70	6,40	4,08
M03,D04,H23	19,90	6,68	3,95	19,90	6,68	3,95
M03,D04,H24	20,10	6,97	3,82	20,10	6,97	3,82
M03,D05,H01	20,40	7,25	3,70	20,40	7,25	3,70
M03,D05,H02	20,20	7,57	3,61	20,20	7,57	3,61
M03,D05,H03	20,10	7,89	3,51	20,10	7,89	3,51
M03,D05,H04	20,00	8,20	3,42	20,00	8,20	3,42
M03,D05,H05	19,80	8,52	3,33	19,80	8,52	3,33
M03,D05,H06	19,70	8,84	3,24	19,70	8,84	3,24
M03,D05,H07	19,50	9,16	3,15	19,50	9,16	3,15
M03,D05,H08	19,60	10,20	3,49	19,60	10,20	3,49
M03,D05,H09	19,70	11,20	3,83	19,70	11,20	3,83
M03,D05,H10	19,70	12,20	4,17	19,70	12,20	4,17
M03,D05,H11	19,80	13,20	4,51	19,80	13,20	4,51
M03,D05,H12	19,80	14,20	4,85	19,80	14,20	4,85
M03,D05,H13	19,90	15,20	5,19	19,90	15,20	5,19
M03,D05,H14	22,30	18,20	4,99	22,30	18,20	4,99
M03,D05,H15	24,80	21,20	4,80	24,80	21,20	4,80
M03,D05,H16	27,20	24,20	4,61	27,20	24,20	4,61
M03,D05,H17	29,70	27,20	4,42	29,70	27,20	4,42
M03,D05,H18	32,20	30,20	4,23	32,20	30,20	4,23
M03,D05,H19	34,60	33,30	4,03	34,60	33,30	4,03
M03,D05,H20	32,70	34,30	4,58	32,70	34,30	4,58
M03,D05,H21	30,70	35,30	5,12	30,70	35,30	5,12
M03,D05,H22	28,70	36,30	5,67	28,70	36,30	5,67
M03,D05,H23	26,70	37,30	6,21	26,70	37,30	6,21
M03,D05,H24	24,70	38,30	6,76	24,70	38,30	6,76
M03,D06,H01	22,80	39,40	7,30	22,80	39,40	7,30
M03,D06,H02	21,80	36,50	6,87	21,80	36,50	6,87
M03,D06,H03	20,90	33,70	6,43	20,90	33,70	6,43
M03,D06,H04	20,00	30,80	6,00	20,00	30,80	6,00
M03,D06,H05	19,10	27,90	5,56	19,10	27,90	5,56
M03,D06,H06	18,10	25,10	5,13	18,10	25,10	5,13
M03,D06,H07	17,20	22,20	4,69	17,20	22,20	4,69
M03,D06,H08	17,60	23,10	4,51	17,60	23,10	4,51
M03,D06,H09	18,00	23,90	4,34	18,00	23,90	4,34
M03,D06,H10	18,50	24,70	4,16	18,50	24,70	4,16
M03,D06,H11	18,90	25,60	3,99	18,90	25,60	3,99
M03,D06,H12	19,30	26,40	3,81	19,30	26,40	3,81
M03,D06,H13	19,70	27,20	3,64	19,70	27,20	3,64
M03,D06,H14	19,50	26,20	3,11	19,50	26,20	3,11
M03,D06,H15	19,40	25,20	2,58	19,40	25,20	2,58
M03,D06,H16	19,20	24,20	2,06	19,20	24,20	2,06
M03,D06,H17	19,00	23,20	1,53	19,00	23,20	1,53
M03,D06,H18	18,80	22,20	1,00	18,80	22,20	1,00
M03,D06,H19	18,60	21,20	0,47	18,60	21,20	0,47
M03,D06,H20	17,50	21,30	0,85	17,50	21,30	0,85
M03,D06,H21	16,40	21,40	1,22	16,40	21,40	1,22
M03,D06,H22	15,30	21,50	1,59	15,30	21,50	1,59
M03,D06,H23	14,20	21,70	1,97	14,20	21,70	1,97
M03,D06,H24	13,10	21,80	2,34	13,10	21,80	2,34
M03,D07,H01	12,00	21,90	2,71	12,00	21,90	2,71
M03,D07,H02	12,80	25,50	2,91	12,80	25,50	2,91
M03,D07,H03	13,50	29,20	3,11	13,50	29,20	3,11
M03,D07,H04	14,30	32,80	3,30	14,30	32,80	3,30
M03,D07,H05	15,00	36,50	3,50	15,00	36,50	3,50
M03,D07,H06	15,70	40,10	3,70	15,70	40,10	3,70
M03,D07,H07	16,50	43,70	3,89	16,50	43,70	3,89
M03,D07,H08	16,40	44,80	4,67	16,40	44,80	4,67
M03,D07,H09	16,30	45,80	5,45	16,30	45,80	5,45
M03,D07,H10	16,20	46,80	6,23	16,20	46,80	6,23
M03,D07,H11	16,10	47,80	7,01	16,10	47,80	7,01
M03,D07,H12	16,00	48,90	7,79	16,00	48,90	7,79
M03,D07,H13	15,90	49,90	8,56	15,90	49,90	8,56
M03,D07,H14	19,80	48,90	12,40	19,80	48,90	12,40
M03,D07,H15	23,80	48,00	16,20	23,80	48,00	16,20
M03,D07,H16	27,80	47,00	20,00	27,80	47,00	20,00
M03,D07,H17	31,70	46,10	23,80	31,70	46,10	23,80
M03,D07,H18	35,70	45,10	27,60	35,70	45,10	27,60
M03,D07,H19	39,60	44,10	31,50	39,60	44,10	31,50
M03,D07,H20	40,30	45,80	33,10	40,30	45,80	33,10
M03,D07,H21	41,00	47,40	34,70	41,00	47,40	34,70
M03,D07,H22	41,70	49,00	36,30	41,70	49,00	36,30
M03,D07,H23	42,40	50,60	37,90	42,40	50,60	37,90
M03,D07,H24	43,10	52,20	39,60	43,10	52,20	39,60
M03,D08,H01	43,80	53,90	41,20	43,80	53,90	41,20
M03,D08,H02	44,00	57,80	41,90	44,00	57,80	41,90
M03,D08,H03	44,20	61,80	42,50	44,20	61,80	42,50
M03,D08,H04	44,40	65,70	43,20	44,40	65,70	43,20
M03,D08,H05	44,60	69,70	43,90	44,60	69,70	43,90
M03,D08,H06	44,90	73,70	44,60	44,90	73,70	44,60
M03,D08,H07	45,10	77,60	45,30	45,10	77,60	45,30
M03,D08,H08	48,10	79,80	46,20	48,10	79,80	46,20
M03,D08,H09	51,10	81,90	47,20	51,10	81,90	47,20
M03,D08,H10	54,10	84,10	48,20	54,10	84,10	48,20
M03,D08,H11	57,10	86,30	49,10	57,10	86,30	49,10
M03,D08,H12	60,10	88,40	50,10	60,10	88,40	50,10
M03,D08,H13	63,10	90,60	51,00	63,10	90,60	51,00
M03,D08,H14	65,00	89,80	52,90	65,00	89,80	52,90
M03,D08,H15	66,80	89,00	54,80	66,80	89,00	54,80
M03,D08,H16	68,70	88,20	56,80	68,70	88,20	56,80
M03,D08,H17	70,60	87,30	58,70	70,60	87,30	58,70
M03,D08,H18	72,50	86,50	60,60	72,50	86,50	60,60
M03,D08,H19	74,40	85,70	62,50	74,40	85,70	62,50
M03,D08,H20	73,30	84,00	63,90	73,30	84,00	63,90
M03,D08,H21	72,20	82,30	65,30	72,20	82,30	65,30
M03,D08,H22	71,10	80,50	66,70	71,10	80,50	66,70
M03,D08,H23	69,90	78,80	68,10	69,90	78,80	68,10
M03,D08,H24	68,80	77,10	69,50	68,80	77,10	69,50
M03,D09,H01	67,70	75,30	70,90	67,70	75,30	70,90
M03,D09,H02	64,40	77,20	66,40	64,40	77,20	66,40
M03,D09,H03	61,10	79,00	61,90	61,10	79,00	61,90
M03,D09,H04	57,70	80,90	57,40	57,70	80,90	57,40
M03,D09,H05	54,40	82,80	52,90	54,40	82,80	52,90
M03,D09,H06	51,00	84,60	48,40	51,00	84,60	48,40
M03,D09,H07	47,70	86,50	43,90	47,70	86,50	43,90
M03,D09,H08	49,60	86,90	42,30	49,60	86,90	42,30
M03,D09,H09	51,50	87,30	40,80	51,50	87,30	40,80
M03,D09,H10	53,40	87,60	39,20	53,40	87,60	39,20
M03,D09,H11	55,30	88,00	37,70	55,30	88,00	37,70
M03,D09,H12	57,20	88,40	36,10	57,20	88,40	36,10
M03,D09,H13	59,10	88,80	34,60	59,10	88,80	34,60
M03,D09,H14	61,10	84,90	35,40	61,10	84,90	35,40
M03,D09,H15	63,20	81,00	36,20	63,20	81,00	36,20
M03,D09,H16	65,30	77,10	37,00	65,30	77,10	37,00
M03,D09,H17	67,30	73,20	37,90	67,30	73,20	37,90
M03,D09,H18	69,40	69,30	38,70	69,40	69,30	38,70
M03,D09,H19	71,40	65,40	39,50	71,40	65,40	39,50
M03,D09,H20	71,00	69,60	38,80	71,00	69,60	38,80
M03,D09,H21	70,50	73,80	38,00	70,50	73,80	38,00
M03,D09,H22	70,00	78,00	37,30	70,00	78,00	37,30
M03,D09,H23	69,50	82,10	36,60	69,50	82,10	36,60
M03,D09,H24	69,10	86,30	35,80	69,10	86,30	35,80
M03,D10,H01	68,60	90,50	35,10	68,60	90,50	35,10
M03,D10,H02	69,10	89,70	37,70	69,10	89,70	37,70
M03,D10,H03	69,60	88,80	40,40	69,60	88,80	40,40
M03,D10,H04	70,20	88,00	43,00	70,20	88,00	43,00
M03,D10,H05	70,70	87,20	45,60	70,70	87,20	45,60
M03,D10,H06	71,20	86,40	48,20	71,20	86,40	48,20
M03,D10,H07	71,70	85,60	50,80	71,70	85,60	50,80
M03,D10,H08	69,90	85,80	51,60	69,90	85,80	51,60
M03,D10,H09	68,10	86,00	52,40	68,10	86,00	52,40
M03,D10,H10	66,20	86,20	53,10	66,20	86,20	53,10
M03,D10,H11	64,40	86,40	53,90	64,40	86,40	53,90
M03,D10,H12	62,50	86,60	54,70	62,50	86,60	54,70
M03,D10,H13	60,70	86,80	55,40	60,70	86,80	55,40
M03,D10,H14	62,70	87,00	57,60	62,70	87,00	57,60
M03,D10,H15	64,80	87,20	59,70	64,80	87,20	59,70
M03,D10,H16	66,90	87,40	61,80	66,90	87,40	61,80
M03,D10,H17	68,90	87,60	63,90	68,90	87,60	63,90
M03,D10,H18	71,00	87,70	66,00	71,00	87,70	66,00
M03,D10,H19	73,00	87,90	68,10	73,00	87,90	68,10
M03,D10,H20	72,80	87,90	69,40	72,80	87,90	69,40
M03,D10,H21	72,50	87,80	70,70	72,50	87,80	70,70
M03,D10,H22	72,20	87,70	72,10	72,20	87,70	72,10
M03,D10,H23	71,90	87,60	73,40	71,90	87,60	73,40
M03,D10,H24	71,70	87,60	74,70	71,70	87,60	74,70
M03,D11,H01	71,40	87,50	76,00	71,40	87,50	76,00
M03,D11,H02	70,10	84,70	75,00	70,10	84,70	75,00
M03,D11,H03	68,70	81,80	74,00	68,70	81,80	74,00
M03,D11,H04	67,40	79,00	73,10	67,40	79,00	73,10
M03,D11,H05	66,10	76,20	72,10	66,10	76,20	72,10
M03,D11,H06	64,80	73,30	71,10	64,80	73,30	71,10
M03,D11,H07	63,40	70,50	70,10	63,40	70,50	70,10
M03,D11,H08	59,20	68,50	65,70	59,20	68,50	65,70
M03,D11,H09	55,00	66,50	61,20	55,00	66,50	61,20
M03,D11,H10	50,70	64,50	56,80	50,70	64,50	56,80
M03,D11,H11	46,50	62,50	52,30	46,50	62,50	52,30
M03,D11,H12	42,30	60,50	47,90	42,30	60,50	47,90
M03,D11,H13	38,10	58,50	43,40	38,10	58,50	43,40
M03,D11,H14	36,20	55,60	45,20	36,20	55,60	45,20
M03,D11,H15	34,20	52,70	46,90	34,20	52,70	46,90
M03,D11,H16	32,30	49,80	48,70	32,30	49,80	48,70
M03,D11,H17	30,40	46,90	50,50	30,40	46,90	50,50
M03,D11,H18	28,50	44,00	52,20	28,50	44,00	52,20
M03,D11,H19	26,60	41,10	54,00	26,60	41,10	54,00
M03,D11,H20	24,60	39,40	50,00	24,60	39,40	50,00
M03,D11,H21	22,70	37,80	46,00	22,70	37,80	46,00
M03,D11,H22	20,80	36,10	42,00	20,80	36,10	42,00
M03,D11,H23	18,80	34,40	38,00	18,80	34,40	38,00
M03,D11,H24	16,90	32,80	34,00	16,90	32,80	34,00
M03,D12,H01	14,90	31,10	30,00	14,90	31,10	30,00
M03,D12,H02	14,60	35,60	27,60	14,60	35,60	27,60
M03,D12,H03	14,20	40,10	25,20	14,20	40,10	25,20
M03,D12,H04	13,80	44,70	22,80	13,80	44,70	22,80
M03,D12,H05	13,40	49,20	20,40	13,40	49,20	20,40
M03,D12,H06	13,00	53,70	17,90	13,00	53,70	17,90
M03,D12,H07	12,70	58,20	15,50	12,70	58,20	15,50
M03,D12,H08	16,90	62,30	15,40	16,90	62,30	15,40
M03,D12,H09	21,20	66,40	15,20	21,20	66,40	15,20
M03,D12,H10	25,40	70,50	15,10	25,40	70,50	15,10
M03,D12,H11	29,70	74,60	14,90	29,70	74,60	14,90
M03,D12,H12	33,90	78,70	14,80	33,90	78,70	14,80
M03,D12,H13	38,20	82,80	14,70	38,20	82,80	14,70
M03,D12,H14	45,80	84,10	14,80	45,80	84,10	14,80
M03,D12,H15	53,50	85,30	15,00	53,50	85,30	15,00
M03,D12,H16	61,10	86,60	15,20	61,10	86,60	15,20
M03,D12,H17	68,80	87,80	15,40	68,80	87,80	15,40
M03,D12,H18	76,50	89,10	15,60	76,50	89,10	15,60
M03,D12,H19	84,10	90,30	15,80	84,10	90,30	15,80
M03,D12,H20	85,00	90,30	18,00	85,00	90,30	18,00
M03,D12,H21	85,90	90,40	20,20	85,90	90,40	20,20
M03,D12,H22	86,80	90,40	22,30	86,80	90,40	22,30
M03,D12,H23	87,60	90,40	24,50	87,60	90,40	24,50
M03,D12,H24	88,50	90,40	26,60	88,50	90,40	26,60
M03,D13,H01	89,40	90,40	28,80	89,40	90,40	28,80
M03,D13,H02	89,10	87,80	29,20	89,10	87,80	29,20
M03,D13,H03	88,80	85,20	29,50	88,80	85,20	29,50
M03,D13,H04	88,40	82,60	29,90	88,40	82,60	29,90
M03,D13,H05	88,10	80,00	30,30	88,10	80,00	30,30
M03,D13,H06	87,80	77,40	30,60	87,80	77,40	30,60
M03,D13,H07	87,50	74,80	31,00	87,50	74,80	31,00
M03,D13,H08	87,80	67,80	30,00	87,80	67,80	30,00
M03,D13,H09	88,10	60,70	29,00	88,10	60,70	29,00
M03,D13,H10	88,40	53,70	28,00	88,40	53,70	28,00
M03,D13,H11	88,70	46,70	27,00	88,70	46,70	27,00
M03,D13,H12	89,00	39,60	26,10	89,00	39,60	26,10
M03,D13,H13	89,30	32,60	25,10	89,30	32,60	25,10
M03,D13,H14	89,20	32,40	25,00	89,20	32,40	25,00
M03,D13,H15	89,20	32,10	25,00	89,20	32,10	25,00
M03,D13,H16	89,10	31,90	25,00	89,10	31,90	25,00
M03,D13,H17	89,10	31,70	25,00	89,10	31,70	25,00
M03,D13,H18	89,00	31,40	25,00	89,00	31,40	25,00
M03,D13,H19	88,90	31,20	25,00	88,90	31,20	25,00
M03,D13,H20	86,70	26,80	23,90	86,70	26,80	23,90
M03,D13,H21	84,50	22,50	22,90	84,50	22,50	22,90
M03,D13,H22	82,30	18,10	21,80	82,30	18,10	21,80
M03,D13,H23	80,10	13,70	20,80	80,10	13,70	20,80
M03,D13,H24	77,90	9,30	19,70	77,90	9,30	19,70
M03,D14,H01	75,70	4,91	18,70	75,70	4,91	18,70
M03,D14,H02	75,10	9,39	15,90	75,10	9,39	15,90
M03,D14,H03	74,60	13,90	13,10	74,60	13,90	13,10
M03,D14,H04	74,00	18,40	10,40	74,00	18,40	10,40
M03,D14,H05	73,40	22,80	7,60	73,40	22,80	7,60
M03,D14,H06	72,90	27,30	4,82	72,90	27,30	4,82
M03,D14,H07	72,30	31,80	2,05	72,30	31,80	2,05
M03,D14,H08	66,20	36,70	1,92	66,20	36,70	1,92
M03,D14,H09	60,00	41,60	1,79	60,00	41,60	1,79
M03,D14,H10	53,90	46,50	1,66	53,90	46,50	1,66
M03,D14,H11	47,80	51,50	1,53	47,80	51,50	1,53
M03,D14,H12	41,60	56,40	1,40	41,60	56,40	1,40
M03,D14,H13	35,50	61,30	1,27	35,50	61,30	1,27
