Pattern	G solar	G solar new
M01,D08,H15	13,90	13,90
M01,D08,H16	0,01	0,01
M01,D08,H17	0,01	0,01
M01,D08,H18	0,01	0,01
M01,D08,H19	0,01	0,01
M01,D08,H20	0,01	0,01
M01,D08,H21	0,01	0,01
M01,D08,H22	0,01	0,01
M01,D08,H23	0,01	0,01
M01,D08,H24	0,01	0,01
M01,D09,H01	0,01	0,01
M01,D09,H02	0,01	0,01
M01,D09,H03	0,01	0,01
M01,D09,H04	0,01	0,01
M01,D09,H05	0,01	0,01
M01,D09,H06	0,01	0,01
M01,D09,H07	0,01	0,01
M01,D09,H08	0,72	0,72
M01,D09,H09	11,50	11,50
M01,D09,H10	18,10	18,10
M01,D09,H11	22,50	22,50
M01,D09,H12	23,50	23,50
M01,D09,H13	21,10	21,10
M01,D09,H14	15,60	15,60
M01,D09,H15	8,55	8,55
M01,D09,H16	0,01	0,01
M01,D09,H17	0,01	0,01
M01,D09,H18	0,01	0,01
M01,D09,H19	0,01	0,01
M01,D09,H20	0,01	0,01
M01,D09,H21	0,01	0,01
M01,D09,H22	0,01	0,01
M01,D09,H23	0,01	0,01
M01,D09,H24	0,01	0,01
M01,D10,H01	0,01	0,01
M01,D10,H02	0,01	0,01
M01,D10,H03	0,01	0,01
M01,D10,H04	0,01	0,01
M01,D10,H05	0,01	0,01
M01,D10,H06	0,01	0,01
M01,D10,H07	0,01	0,01
M01,D10,H08	0,80	0,80
M01,D10,H09	16,90	16,90
M01,D10,H10	25,50	25,50
M01,D10,H11	31,10	31,10
M01,D10,H12	32,40	32,40
M01,D10,H13	29,30	29,30
M01,D10,H14	22,30	22,30
M01,D10,H15	13,00	13,00
M01,D10,H16	0,01	0,01
M01,D10,H17	0,01	0,01
M01,D10,H18	0,01	0,01
M01,D10,H19	0,01	0,01
M01,D10,H20	0,01	0,01
M01,D10,H21	0,01	0,01
M01,D10,H22	0,01	0,01
M01,D10,H23	0,01	0,01
M01,D10,H24	0,01	0,01
M01,D11,H01	0,01	0,01
M01,D11,H02	0,01	0,01
M01,D11,H03	0,01	0,01
M01,D11,H04	0,01	0,01
M01,D11,H05	0,01	0,01
M01,D11,H06	0,01	0,01
M01,D11,H07	0,01	0,01
M01,D11,H08	0,77	0,77
M01,D11,H09	8,57	8,57
M01,D11,H10	14,10	14,10
