Pattern	G solar	G solar new
M03,D25,H02	0,01	0,01
M03,D25,H03	0,01	0,01
M03,D25,H04	0,01	0,01
M03,D25,H05	0,01	0,01
M03,D25,H06	0,82	0,82
M03,D25,H07	4,33	4,33
M03,D25,H08	9,13	9,13
M03,D25,H09	14,10	14,10
M03,D25,H10	18,10	18,10
M03,D25,H11	20,50	20,50
M03,D25,H12	21,10	21,10
M03,D25,H13	19,80	19,80
M03,D25,H14	16,70	16,70
M03,D25,H15	12,20	12,20
M03,D25,H16	7,13	7,13
M03,D25,H17	2,70	2,70
M03,D25,H18	0,01	0,01
M03,D25,H19	0,01	0,01
M03,D25,H20	0,01	0,01
M03,D25,H21	0,01	0,01
M03,D25,H22	0,01	0,01
M03,D25,H23	0,01	0,01
M03,D25,H24	0,01	0,01
M03,D26,H01	0,01	0,01
M03,D26,H02	0,01	0,01
M03,D26,H03	0,01	0,01
M03,D26,H04	0,01	0,01
M03,D26,H05	0,01	0,01
M03,D26,H06	1,08	1,08
M03,D26,H07	10,30	10,30
M03,D26,H08	20,40	20,40
M03,D26,H09	30,20	30,20
M03,D26,H10	37,60	37,60
M03,D26,H11	42,00	42,00
M03,D26,H12	42,90	42,90
M03,D26,H13	40,60	40,60
M03,D26,H14	35,00	35,00
M03,D26,H15	26,50	26,50
M03,D26,H16	16,30	16,30
M03,D26,H17	6,63	6,63
M03,D26,H18	0,01	0,01
M03,D26,H19	0,01	0,01
M03,D26,H20	0,01	0,01
M03,D26,H21	0,01	0,01
M03,D26,H22	0,01	0,01
M03,D26,H23	0,01	0,01
M03,D26,H24	0,01	0,01
M03,D27,H01	0,01	0,01
M03,D27,H02	0,01	0,01
M03,D27,H03	0,01	0,01
M03,D27,H04	0,01	0,01
M03,D27,H05	0,01	0,01
M03,D27,H06	1,16	1,16
M03,D27,H07	8,55	8,55
M03,D27,H08	17,00	17,00
M03,D27,H09	25,20	25,20
M03,D27,H10	31,50	31,50
M03,D27,H11	35,20	35,20
M03,D27,H12	36,10	36,10
M03,D27,H13	34,10	34,10
M03,D27,H14	29,30	29,30
M03,D27,H15	22,00	22,00
M03,D27,H16	13,50	13,50
M03,D27,H17	5,53	5,53
M03,D27,H18	0,01	0,01
M03,D27,H19	0,01	0,01
M03,D27,H20	0,01	0,01
M03,D27,H21	0,01	0,01
M03,D27,H22	0,01	0,01
M03,D27,H23	0,01	0,01
M03,D27,H24	0,01	0,01
M03,D28,H01	0,01	0,01
M03,D28,H02	0,01	0,01
M03,D28,H03	0,01	0,01
M03,D28,H04	0,01	0,01
M03,D28,H05	0,01	0,01
M03,D28,H06	1,18	1,18
M03,D28,H07	5,99	5,99
M03,D28,H08	12,00	12,00
M03,D28,H09	18,00	18,00
M03,D28,H10	22,80	22,80
M03,D28,H11	25,60	25,60
M03,D28,H12	26,30	26,30
M03,D28,H13	24,80	24,80
M03,D28,H14	21,10	21,10
M03,D28,H15	15,70	15,70
M03,D28,H16	9,52	9,52
M03,D28,H17	3,89	3,89
M03,D28,H18	0,01	0,01
M03,D28,H19	0,01	0,01
M03,D28,H20	0,01	0,01
M03,D28,H21	0,01	0,01
M03,D28,H22	0,01	0,01
M03,D28,H23	0,01	0,01
M03,D28,H24	0,01	0,01
M03,D29,H01	0,01	0,01
M03,D29,H02	0,01	0,01
M03,D29,H03	0,01	0,01
M03,D29,H04	0,01	0,01
M03,D29,H05	0,01	0,01
M03,D29,H06	1,16	1,16
M03,D29,H07	4,59	4,59
M03,D29,H08	9,22	9,22
M03,D29,H09	14,00	14,00
M03,D29,H10	17,80	17,80
M03,D29,H11	20,10	20,10
M03,D29,H12	20,60	20,60
M03,D29,H13	19,40	19,40
M03,D29,H14	16,40	16,40
M03,D29,H15	12,10	12,10
M03,D29,H16	7,29	7,29
M03,D29,H17	3,00	3,00
M03,D29,H18	0,06	0,06
M03,D29,H19	0,01	0,01
M03,D29,H20	0,01	0,01
M03,D29,H21	0,01	0,01
M03,D29,H22	0,01	0,01
M03,D29,H23	0,01	0,01
M03,D29,H24	0,01	0,01
M03,D30,H01	0,01	0,01
M03,D30,H02	0,01	0,01
M03,D30,H03	0,01	0,01
M03,D30,H04	0,01	0,01
M03,D30,H05	0,01	0,01
M03,D30,H06	1,42	1,42
M03,D30,H07	7,72	7,72
M03,D30,H08	15,00	15,00
M03,D30,H09	22,10	22,10
M03,D30,H10	27,60	27,60
M03,D30,H11	30,80	30,80
M03,D30,H12	31,60	31,60
M03,D30,H13	29,90	29,90
M03,D30,H14	25,70	25,70
M03,D30,H15	19,40	19,40
M03,D30,H16	12,00	12,00
M03,D30,H17	5,11	5,11
M03,D30,H18	0,16	0,16
M03,D30,H19	0,01	0,01
M03,D30,H20	0,01	0,01
M03,D30,H21	0,01	0,01
M03,D30,H22	0,01	0,01
M03,D30,H23	0,01	0,01
M03,D30,H24	0,01	0,01
M03,D31,H01	0,01	0,01
M03,D31,H02	0,01	0,01
M03,D31,H03	0,01	0,01
M03,D31,H04	0,01	0,01
M03,D31,H05	0,01	0,01
M03,D31,H06	1,57	1,57
M03,D31,H07	9,22	9,22
M03,D31,H08	17,70	17,70
M03,D31,H09	25,70	25,70
M03,D31,H10	32,00	32,00
M03,D31,H11	35,50	35,50
M03,D31,H12	36,30	36,30
M03,D31,H13	34,40	34,40
M03,D31,H14	29,80	29,80
M03,D31,H15	22,70	22,70
M03,D31,H16	14,20	14,20
M03,D31,H17	6,15	6,15
M03,D31,H18	0,27	0,27
M03,D31,H19	0,01	0,01
M03,D31,H20	0,01	0,01
M03,D31,H21	0,01	0,01
M03,D31,H22	0,01	0,01
M03,D31,H23	0,01	0,01
M03,D31,H24	0,01	0,01
M04,D01,H01	0,01	0,01
M04,D01,H02	0,01	0,01
M04,D01,H03	0,01	0,01
M04,D01,H04	0,01	0,01
M04,D01,H05	0,01	0,01
M04,D01,H06	1,40	1,40
M04,D01,H07	5,15	5,15
M04,D01,H08	9,98	9,98
M04,D01,H09	14,80	14,80
M04,D01,H10	18,70	18,70
M04,D01,H11	21,00	21,00
M04,D01,H12	21,60	21,60
M04,D01,H13	20,30	20,30
M04,D01,H14	17,30	17,30
M04,D01,H15	13,00	13,00
M04,D01,H16	7,98	7,98
M04,D01,H17	3,47	3,47
M04,D01,H18	0,32	0,32
M04,D01,H19	0,01	0,01
M04,D01,H20	0,01	0,01
M04,D01,H21	0,01	0,01
M04,D01,H22	0,01	0,01
M04,D01,H23	0,01	0,01
M04,D01,H24	0,01	0,01
M04,D02,H01	0,01	0,01
M04,D02,H02	0,01	0,01
M04,D02,H03	0,01	0,01
M04,D02,H04	0,01	0,01
M04,D02,H05	0,01	0,01
M04,D02,H06	1,02	1,02
M04,D02,H07	3,32	3,32
M04,D02,H08	6,48	6,48
M04,D02,H09	9,79	9,79
M04,D02,H10	12,50	12,50
M04,D02,H11	14,10	14,10
M04,D02,H12	14,50	14,50
M04,D02,H13	13,60	13,60
M04,D02,H14	11,50	11,50
M04,D02,H15	8,50	8,50
M04,D02,H16	5,15	5,15
M04,D02,H17	2,26	2,26
M04,D02,H18	0,34	0,34
M04,D02,H19	0,01	0,01
M04,D02,H20	0,01	0,01
M04,D02,H21	0,01	0,01
M04,D02,H22	0,01	0,01
M04,D02,H23	0,01	0,01
M04,D02,H24	0,01	0,01
M04,D03,H01	0,01	0,01
M04,D03,H02	0,01	0,01
M04,D03,H03	0,01	0,01
M04,D03,H04	0,01	0,01
M04,D03,H05	0,01	0,01
M04,D03,H06	1,37	1,37
M04,D03,H07	4,50	4,50
M04,D03,H08	8,59	8,59
M04,D03,H09	12,70	12,70
M04,D03,H10	16,10	16,10
M04,D03,H11	18,10	18,10
M04,D03,H12	18,50	18,50
M04,D03,H13	17,50	17,50
M04,D03,H14	14,90	14,90
M04,D03,H15	11,10	11,10
M04,D03,H16	6,89	6,89
M04,D03,H17	3,09	3,09
M04,D03,H18	0,46	0,46
M04,D03,H19	0,01	0,01
M04,D03,H20	0,01	0,01
M04,D03,H21	0,01	0,01
M04,D03,H22	0,01	0,01
M04,D03,H23	0,01	0,01
M04,D03,H24	0,01	0,01
M04,D04,H01	0,01	0,01
M04,D04,H02	0,01	0,01
M04,D04,H03	0,01	0,01
M04,D04,H04	0,01	0,01
M04,D04,H05	0,01	0,01
M04,D04,H06	1,74	1,74
M04,D04,H07	5,77	5,77
M04,D04,H08	10,80	10,80
M04,D04,H09	15,90	15,90
M04,D04,H10	19,80	19,80
M04,D04,H11	22,20	22,20
M04,D04,H12	22,70	22,70
M04,D04,H13	21,40	21,40
M04,D04,H14	18,40	18,40
M04,D04,H15	13,90	13,90
M04,D04,H16	8,75	8,75
M04,D04,H17	3,98	3,98
M04,D04,H18	0,58	0,58
M04,D04,H19	0,01	0,01
M04,D04,H20	0,01	0,01
M04,D04,H21	0,01	0,01
M04,D04,H22	0,01	0,01
M04,D04,H23	0,01	0,01
M04,D04,H24	0,01	0,01
M04,D05,H01	0,01	0,01
M04,D05,H02	0,01	0,01
M04,D05,H03	0,01	0,01
M04,D05,H04	0,01	0,01
M04,D05,H05	0,01	0,01
M04,D05,H06	3,12	3,12
M04,D05,H07	11,30	11,30
M04,D05,H08	20,70	20,70
M04,D05,H09	29,50	29,50
M04,D05,H10	36,10	36,10
M04,D05,H11	39,70	39,70
M04,D05,H12	40,60	40,60
M04,D05,H13	38,60	38,60
M04,D05,H14	33,80	33,80
M04,D05,H15	26,10	26,10
M04,D05,H16	16,90	16,90
M04,D05,H17	7,77	7,77
M04,D05,H18	0,77	0,77
M04,D05,H19	0,01	0,01
M04,D05,H20	0,01	0,01
M04,D05,H21	0,01	0,01
M04,D05,H22	0,01	0,01
M04,D05,H23	0,01	0,01
M04,D05,H24	0,01	0,01
M04,D06,H01	0,01	0,01
M04,D06,H02	0,01	0,01
M04,D06,H03	0,01	0,01
M04,D06,H04	0,01	0,01
M04,D06,H05	0,01	0,01
M04,D06,H06	2,13	2,13
M04,D06,H07	6,74	6,74
M04,D06,H08	12,40	12,40
M04,D06,H09	17,90	17,90
M04,D06,H10	22,30	22,30
M04,D06,H11	24,80	24,80
M04,D06,H12	25,30	25,30
M04,D06,H13	24,00	24,00
M04,D06,H14	20,70	20,70
M04,D06,H15	15,80	15,80
M04,D06,H16	10,10	10,10
M04,D06,H17	4,71	4,71
M04,D06,H18	0,79	0,79
M04,D06,H19	0,01	0,01
M04,D06,H20	0,01	0,01
M04,D06,H21	0,01	0,01
M04,D06,H22	0,01	0,01
M04,D06,H23	0,01	0,01
M04,D06,H24	0,01	0,01
M04,D07,H01	0,01	0,01
M04,D07,H02	0,01	0,01
M04,D07,H03	0,01	0,01
M04,D07,H04	0,01	0,01
M04,D07,H05	0,01	0,01
M04,D07,H06	2,25	2,25
M04,D07,H07	6,91	6,91
M04,D07,H08	12,60	12,60
M04,D07,H09	18,20	18,20
M04,D07,H10	22,50	22,50
M04,D07,H11	25,00	25,00
M04,D07,H12	25,50	25,50
M04,D07,H13	24,20	24,20
M04,D07,H14	21,00	21,00
M04,D07,H15	16,00	16,00
M04,D07,H16	10,30	10,30
M04,D07,H17	4,86	4,86
M04,D07,H18	0,88	0,88
M04,D07,H19	0,01	0,01
M04,D07,H20	0,01	0,01
M04,D07,H21	0,01	0,01
M04,D07,H22	0,01	0,01
M04,D07,H23	0,01	0,01
M04,D07,H24	0,01	0,01
M04,D08,H01	0,01	0,01
M04,D08,H02	0,01	0,01
M04,D08,H03	0,01	0,01
M04,D08,H04	0,01	0,01
M04,D08,H05	0,01	0,01
M04,D08,H06	2,19	2,19
M04,D08,H07	6,51	6,51
M04,D08,H08	11,80	11,80
M04,D08,H09	16,90	16,90
M04,D08,H10	20,90	20,90
M04,D08,H11	23,30	23,30
M04,D08,H12	23,80	23,80
M04,D08,H13	22,60	22,60
M04,D08,H14	19,50	19,50
M04,D08,H15	15,00	15,00
M04,D08,H16	9,63	9,63
M04,D08,H17	4,61	4,61
M04,D08,H18	0,93	0,93
M04,D08,H19	0,01	0,01
M04,D08,H20	0,01	0,01
M04,D08,H21	0,01	0,01
M04,D08,H22	0,01	0,01
M04,D08,H23	0,01	0,01
M04,D08,H24	0,01	0,01
M04,D09,H01	0,01	0,01
M04,D09,H02	0,01	0,01
M04,D09,H03	0,01	0,01
M04,D09,H04	0,01	0,01
M04,D09,H05	0,01	0,01
M04,D09,H06	3,06	3,06
M04,D09,H07	9,47	9,47
M04,D09,H08	16,90	16,90
M04,D09,H09	24,00	24,00
M04,D09,H10	29,30	29,30
M04,D09,H11	32,30	32,30
M04,D09,H12	32,90	32,90
M04,D09,H13	31,40	31,40
M04,D09,H14	27,40	27,40
M04,D09,H15	21,30	21,30
M04,D09,H16	13,90	13,90
M04,D09,H17	6,70	6,70
M04,D09,H18	1,13	1,13
M04,D09,H19	0,01	0,01
M04,D09,H20	0,01	0,01
M04,D09,H21	0,01	0,01
M04,D09,H22	0,01	0,01
M04,D09,H23	0,01	0,01
M04,D09,H24	0,01	0,01
M04,D10,H01	0,01	0,01
M04,D10,H02	0,01	0,01
M04,D10,H03	0,01	0,01
M04,D10,H04	0,01	0,01
M04,D10,H05	0,01	0,01
M04,D10,H06	3,32	3,32
M04,D10,H07	10,20	10,20
M04,D10,H08	18,10	18,10
M04,D10,H09	25,50	25,50
M04,D10,H10	31,00	31,00
M04,D10,H11	34,10	34,10
M04,D10,H12	34,80	34,80
M04,D10,H13	33,20	33,20
M04,D10,H14	29,10	29,10
M04,D10,H15	22,70	22,70
M04,D10,H16	14,90	14,90
M04,D10,H17	7,24	7,24
M04,D10,H18	1,22	1,22
M04,D10,H19	0,01	0,01
M04,D10,H20	0,01	0,01
M04,D10,H21	0,01	0,01
M04,D10,H22	0,01	0,01
M04,D10,H23	0,01	0,01
M04,D10,H24	0,01	0,01
M04,D11,H01	0,01	0,01
M04,D11,H02	0,01	0,01
M04,D11,H03	0,01	0,01
M04,D11,H04	0,01	0,01
M04,D11,H05	0,01	0,01
M04,D11,H06	3,10	3,10
M04,D11,H07	9,02	9,02
M04,D11,H08	15,90	15,90
M04,D11,H09	22,40	22,40
M04,D11,H10	27,40	27,40
M04,D11,H11	30,10	30,10
M04,D11,H12	30,70	30,70
M04,D11,H13	29,30	29,30
M04,D11,H14	25,60	25,60
M04,D11,H15	20,00	20,00
M04,D11,H16	13,10	13,10
M04,D11,H17	6,46	6,46
M04,D11,H18	1,29	1,29
M04,D11,H19	0,01	0,01
M04,D11,H20	0,01	0,01
M04,D11,H21	0,01	0,01
M04,D11,H22	0,01	0,01
M04,D11,H23	0,01	0,01
M04,D11,H24	0,01	0,01
M04,D12,H01	0,01	0,01
M04,D12,H02	0,01	0,01
M04,D12,H03	0,01	0,01
M04,D12,H04	0,01	0,01
M04,D12,H05	0,01	0,01
M04,D12,H06	2,72	2,72
M04,D12,H07	7,43	7,43
M04,D12,H08	13,10	13,10
M04,D12,H09	18,40	18,40
M04,D12,H10	22,60	22,60
M04,D12,H11	24,90	24,90
M04,D12,H12	25,50	25,50
M04,D12,H13	24,20	24,20
M04,D12,H14	21,10	21,10
M04,D12,H15	16,40	16,40
M04,D12,H16	10,80	10,80
M04,D12,H17	5,38	5,38
M04,D12,H18	1,30	1,30
M04,D12,H19	0,01	0,01
M04,D12,H20	0,01	0,01
M04,D12,H21	0,01	0,01
M04,D12,H22	0,01	0,01
M04,D12,H23	0,01	0,01
M04,D12,H24	0,01	0,01
M04,D13,H01	0,01	0,01
M04,D13,H02	0,01	0,01
M04,D13,H03	0,01	0,01
M04,D13,H04	0,01	0,01
M04,D13,H05	0,01	0,01
M04,D13,H06	4,65	4,65
M04,D13,H07	14,10	14,10
M04,D13,H08	24,60	24,60
M04,D13,H09	34,10	34,10
M04,D13,H10	40,90	40,90
M04,D13,H11	44,60	44,60
M04,D13,H12	45,40	45,40
M04,D13,H13	43,50	43,50
M04,D13,H14	38,50	38,50
M04,D13,H15	30,50	30,50
M04,D13,H16	20,40	20,40
M04,D13,H17	10,10	10,10
M04,D13,H18	1,56	1,56
M04,D13,H19	0,01	0,01
M04,D13,H20	0,01	0,01
M04,D13,H21	0,01	0,01
M04,D13,H22	0,01	0,01
M04,D13,H23	0,01	0,01
M04,D13,H24	0,01	0,01
M04,D14,H01	0,01	0,01
M04,D14,H02	0,01	0,01
M04,D14,H03	0,01	0,01
M04,D14,H04	0,01	0,01
M04,D14,H05	0,01	0,01
M04,D14,H06	7,80	7,80
M04,D14,H07	26,50	26,50
M04,D14,H08	45,80	45,80
M04,D14,H09	62,30	62,30
M04,D14,H10	73,50	73,50
M04,D14,H11	79,10	79,10
M04,D14,H12	80,30	80,30
M04,D14,H13	77,50	77,50
M04,D14,H14	69,70	69,70
M04,D14,H15	56,20	56,20
M04,D14,H16	38,30	38,30
M04,D14,H17	18,80	18,80
M04,D14,H18	1,32	1,32
M04,D14,H19	0,01	0,01
M04,D14,H20	0,01	0,01
M04,D14,H21	0,01	0,01
M04,D14,H22	0,01	0,01
M04,D14,H23	0,01	0,01
M04,D14,H24	0,01	0,01
M04,D15,H01	0,01	0,01
M04,D15,H02	0,01	0,01
M04,D15,H03	0,01	0,01
M04,D15,H04	0,01	0,01
M04,D15,H05	0,01	0,01
M04,D15,H06	7,71	7,71
M04,D15,H07	25,50	25,50
M04,D15,H08	43,90	43,90
M04,D15,H09	59,60	59,60
M04,D15,H10	70,20	70,20
M04,D15,H11	75,60	75,60
M04,D15,H12	76,70	76,70
M04,D15,H13	74,00	74,00
M04,D15,H14	66,60	66,60
M04,D15,H15	53,80	53,80
M04,D15,H16	36,70	36,70
M04,D15,H17	18,10	18,10
M04,D15,H18	1,46	1,46
M04,D15,H19	0,01	0,01
M04,D15,H20	0,01	0,01
M04,D15,H21	0,01	0,01
M04,D15,H22	0,01	0,01
M04,D15,H23	0,01	0,01
M04,D15,H24	0,01	0,01
M04,D16,H01	0,01	0,01
M04,D16,H02	0,01	0,01
M04,D16,H03	0,01	0,01
M04,D16,H04	0,01	0,01
M04,D16,H05	0,01	0,01
M04,D16,H06	2,84	2,84
M04,D16,H07	7,04	7,04
M04,D16,H08	12,00	12,00
M04,D16,H09	16,80	16,80
M04,D16,H10	20,50	20,50
M04,D16,H11	22,50	22,50
M04,D16,H12	23,00	23,00
M04,D16,H13	21,90	21,90
M04,D16,H14	19,20	19,20
M04,D16,H15	15,00	15,00
M04,D16,H16	10,00	10,00
M04,D16,H17	5,21	5,21
M04,D16,H18	1,56	1,56
M04,D16,H19	0,01	0,01
M04,D16,H20	0,01	0,01
M04,D16,H21	0,01	0,01
M04,D16,H22	0,01	0,01
M04,D16,H23	0,01	0,01
M04,D16,H24	0,01	0,01
M04,D17,H01	0,01	0,01
M04,D17,H02	0,01	0,01
M04,D17,H03	0,01	0,01
M04,D17,H04	0,01	0,01
M04,D17,H05	0,02	0,02
M04,D17,H06	4,64	4,64
M04,D17,H07	12,80	12,80
M04,D17,H08	21,70	21,70
M04,D17,H09	29,80	29,80
M04,D17,H10	35,70	35,70
M04,D17,H11	38,80	38,80
M04,D17,H12	39,50	39,50
M04,D17,H13	37,90	37,90
M04,D17,H14	33,70	33,70
M04,D17,H15	26,80	26,80
M04,D17,H16	18,20	18,20
M04,D17,H17	9,33	9,33
M04,D17,H18	1,95	1,95
M04,D17,H19	0,01	0,01
M04,D17,H20	0,01	0,01
M04,D17,H21	0,01	0,01
M04,D17,H22	0,01	0,01
M04,D17,H23	0,01	0,01
M04,D17,H24	0,01	0,01
M04,D18,H01	0,01	0,01
M04,D18,H02	0,01	0,01
M04,D18,H03	0,01	0,01
M04,D18,H04	0,01	0,01
M04,D18,H05	0,11	0,11
M04,D18,H06	6,33	6,33
M04,D18,H07	18,50	18,50
M04,D18,H08	31,30	31,30
M04,D18,H09	42,50	42,50
M04,D18,H10	50,30	50,30
M04,D18,H11	54,30	54,30
M04,D18,H12	55,20	55,20
M04,D18,H13	53,10	53,10
M04,D18,H14	47,70	47,70
M04,D18,H15	38,40	38,40
M04,D18,H16	26,30	26,30
M04,D18,H17	13,40	13,40
M04,D18,H18	2,15	2,15
M04,D18,H19	0,01	0,01
M04,D18,H20	0,01	0,01
M04,D18,H21	0,01	0,01
M04,D18,H22	0,01	0,01
M04,D18,H23	0,01	0,01
M04,D18,H24	0,01	0,01
M04,D19,H01	0,01	0,01
M04,D19,H02	0,01	0,01
M04,D19,H03	0,01	0,01
M04,D19,H04	0,01	0,01
M04,D19,H05	0,16	0,16
M04,D19,H06	8,90	8,90
M04,D19,H07	28,00	28,00
M04,D19,H08	47,40	47,40
M04,D19,H09	63,50	63,50
M04,D19,H10	74,30	74,30
M04,D19,H11	79,50	79,50
M04,D19,H12	80,60	80,60
M04,D19,H13	78,00	78,00
M04,D19,H14	70,70	70,70
M04,D19,H15	57,60	57,60
M04,D19,H16	39,80	39,80
M04,D19,H17	20,10	20,10
M04,D19,H18	2,08	2,08
M04,D19,H19	0,01	0,01
M04,D19,H20	0,01	0,01
M04,D19,H21	0,01	0,01
M04,D19,H22	0,01	0,01
M04,D19,H23	0,01	0,01
M04,D19,H24	0,01	0,01
M04,D20,H01	0,01	0,01
M04,D20,H02	0,01	0,01
M04,D20,H03	0,01	0,01
M04,D20,H04	0,01	0,01
M04,D20,H05	0,27	0,27
M04,D20,H06	8,29	8,29
M04,D20,H07	24,90	24,90
M04,D20,H08	41,90	41,90
M04,D20,H09	56,30	56,30
M04,D20,H10	65,90	65,90
M04,D20,H11	70,70	70,70
M04,D20,H12	71,60	71,60
M04,D20,H13	69,30	69,30
M04,D20,H14	62,70	62,70
M04,D20,H15	51,00	51,00
M04,D20,H16	35,30	35,30
M04,D20,H17	18,00	18,00
M04,D20,H18	2,41	2,41
M04,D20,H19	0,01	0,01
M04,D20,H20	0,01	0,01
M04,D20,H21	0,01	0,01
M04,D20,H22	0,01	0,01
M04,D20,H23	0,01	0,01
M04,D20,H24	0,01	0,01
M04,D21,H01	0,01	0,01
M04,D21,H02	0,01	0,01
M04,D21,H03	0,01	0,01
M04,D21,H04	0,01	0,01
M04,D21,H05	0,33	0,33
M04,D21,H06	8,84	8,84
M04,D21,H07	26,50	26,50
M04,D21,H08	44,50	44,50
M04,D21,H09	59,50	59,50
M04,D21,H10	69,50	69,50
M04,D21,H11	74,30	74,30
M04,D21,H12	75,30	75,30
M04,D21,H13	73,00	73,00
M04,D21,H14	66,20	66,20
M04,D21,H15	54,00	54,00
M04,D21,H16	37,50	37,50
M04,D21,H17	19,20	19,20
M04,D21,H18	2,53	2,53
M04,D21,H19	0,01	0,01
M04,D21,H20	0,01	0,01
M04,D21,H21	0,01	0,01
M04,D21,H22	0,01	0,01
M04,D21,H23	0,01	0,01
M04,D21,H24	0,01	0,01
M04,D22,H01	0,01	0,01
M04,D22,H02	0,01	0,01
M04,D22,H03	0,01	0,01
M04,D22,H04	0,01	0,01
M04,D22,H05	0,45	0,45
M04,D22,H06	8,14	8,14
M04,D22,H07	23,40	23,40
M04,D22,H08	39,00	39,00
M04,D22,H09	52,10	52,10
M04,D22,H10	61,00	61,00
M04,D22,H11	65,30	65,30
M04,D22,H12	66,20	66,20
M04,D22,H13	64,10	64,10
M04,D22,H14	58,00	58,00
M04,D22,H15	47,30	47,30
M04,D22,H16	32,90	32,90
M04,D22,H17	17,10	17,10
M04,D22,H18	2,76	2,76
M04,D22,H19	0,01	0,01
M04,D22,H20	0,01	0,01
M04,D22,H21	0,01	0,01
M04,D22,H22	0,01	0,01
M04,D22,H23	0,01	0,01
M04,D22,H24	0,01	0,01
M04,D23,H01	0,01	0,01
M04,D23,H02	0,01	0,01
M04,D23,H03	0,01	0,01
M04,D23,H04	0,01	0,01
M04,D23,H05	0,46	0,46
M04,D23,H06	9,43	9,43
M04,D23,H07	27,80	27,80
M04,D23,H08	46,30	46,30
M04,D23,H09	61,50	61,50
M04,D23,H10	71,60	71,60
M04,D23,H11	76,30	76,30
M04,D23,H12	77,30	77,30
M04,D23,H13	75,00	75,00
M04,D23,H14	68,20	68,20
M04,D23,H15	56,00	56,00
M04,D23,H16	39,10	39,10
M04,D23,H17	20,30	20,30
M04,D23,H18	2,82	2,82
M04,D23,H19	0,01	0,01
M04,D23,H20	0,01	0,01
M04,D23,H21	0,01	0,01
M04,D23,H22	0,01	0,01
M04,D23,H23	0,01	0,01
M04,D23,H24	0,01	0,01
M04,D24,H01	0,01	0,01
M04,D24,H02	0,01	0,01
M04,D24,H03	0,01	0,01
M04,D24,H04	0,01	0,01
M04,D24,H05	0,58	0,58
M04,D24,H06	9,01	9,01
M04,D24,H07	25,60	25,60
M04,D24,H08	42,40	42,40
M04,D24,H09	56,40	56,40
M04,D24,H10	65,70	65,70
M04,D24,H11	70,10	70,10
M04,D24,H12	71,00	71,00
M04,D24,H13	68,90	68,90
M04,D24,H14	62,60	62,60
M04,D24,H15	51,30	51,30
M04,D24,H16	35,90	35,90
M04,D24,H17	18,80	18,80
M04,D24,H18	3,06	3,06
M04,D24,H19	0,01	0,01
M04,D24,H20	0,01	0,01
M04,D24,H21	0,01	0,01
M04,D24,H22	0,01	0,01
M04,D24,H23	0,01	0,01
M04,D24,H24	0,01	0,01
M04,D25,H01	0,01	0,01
M04,D25,H02	0,01	0,01
M04,D25,H03	0,01	0,01
M04,D25,H04	0,01	0,01
M04,D25,H05	0,56	0,56
M04,D25,H06	10,20	10,20
M04,D25,H07	29,80	29,80
M04,D25,H08	49,20	49,20
M04,D25,H09	65,10	65,10
M04,D25,H10	75,40	75,40
M04,D25,H11	80,20	80,20
M04,D25,H12	81,10	81,10
M04,D25,H13	78,80	78,80
M04,D25,H14	72,00	72,00
M04,D25,H15	59,40	59,40
M04,D25,H16	41,70	41,70
M04,D25,H17	21,80	21,80
M04,D25,H18	3,11	3,11
M04,D25,H19	0,01	0,01
M04,D25,H20	0,01	0,01
M04,D25,H21	0,01	0,01
M04,D25,H22	0,01	0,01
M04,D25,H23	0,01	0,01
M04,D25,H24	0,01	0,01
M04,D26,H01	0,01	0,01
M04,D26,H02	0,01	0,01
M04,D26,H03	0,01	0,01
M04,D26,H04	0,01	0,01
M04,D26,H05	0,78	0,78
M04,D26,H06	8,67	8,67
M04,D26,H07	23,50	23,50
M04,D26,H08	38,60	38,60
M04,D26,H09	51,20	51,20
M04,D26,H10	59,60	59,60
M04,D26,H11	63,60	63,60
M04,D26,H12	64,40	64,40
M04,D26,H13	62,40	62,40
M04,D26,H14	56,80	56,80
M04,D26,H15	46,60	46,60
M04,D26,H16	32,70	32,70
M04,D26,H17	17,40	17,40
M04,D26,H18	3,36	3,36
M04,D26,H19	0,01	0,01
M04,D26,H20	0,01	0,01
M04,D26,H21	0,01	0,01
M04,D26,H22	0,01	0,01
M04,D26,H23	0,01	0,01
M04,D26,H24	0,01	0,01
M04,D27,H01	0,01	0,01
M04,D27,H02	0,01	0,01
M04,D27,H03	0,01	0,01
M04,D27,H04	0,01	0,01
M04,D27,H05	0,77	0,77
M04,D27,H06	9,92	9,92
M04,D27,H07	27,60	27,60
M04,D27,H08	45,20	45,20
M04,D27,H09	59,70	59,70
M04,D27,H10	69,00	69,00
M04,D27,H11	73,40	73,40
M04,D27,H12	74,20	74,20
M04,D27,H13	72,20	72,20
M04,D27,H14	66,00	66,00
M04,D27,H15	54,50	54,50
M04,D27,H16	38,40	38,40
M04,D27,H17	20,40	20,40
M04,D27,H18	3,51	3,51
M04,D27,H19	0,01	0,01
M04,D27,H20	0,01	0,01
M04,D27,H21	0,01	0,01
M04,D27,H22	0,01	0,01
M04,D27,H23	0,01	0,01
M04,D27,H24	0,01	0,01
M04,D28,H01	0,01	0,01
M04,D28,H02	0,01	0,01
M04,D28,H03	0,01	0,01
M04,D28,H04	0,01	0,01
M04,D28,H05	0,99	0,99
M04,D28,H06	6,46	6,46
M04,D28,H07	15,60	15,60
